name,alias,address,city,country,lat,lon,code_phrase
René Leclerc du Germain,,"63, chemin de Monnier 82159 Robertboeuf",Paris,France,48.883,2.2489,"['eius', 'molestias', 'labore']"
Bertrand Rey,,avenue Sylvie Ledoux 90163 Saint SuzanneBourg,Paris,France,48.7165,2.4438,"['natus', 'rerum', 'esse']"
Louis de la Lemaitre,Playboy,"648, rue Anouk Lagarde 94300 Berger",Paris,France,48.9662,2.4828,"['qui', 'quidem', 'quam']"
Benoît Thomas,,"686, rue de Charrier 61693 Chauvin-sur-Langlois",Paris,France,48.6343,2.5809,"['neque', 'in', 'maiores']"
Michelle Delorme,,"38, rue Olivier Renaud 44752 Lefebvredan",Paris,France,49.1044,2.5899,"['hic', 'quibusdam', 'doloribus']"
Célina Marie,,avenue Normand 47960 Sainte JoséphineBourg,Paris,France,48.9904,2.4103,"['voluptates', 'vero', 'vero']"
Émilie Weber du Payet,,"29, avenue Marianne Petitjean 46842 Saint Nicole",Paris,France,48.6648,2.4143,"['ducimus', 'ad', 'sed']"
Emmanuelle Colas,,"28, boulevard de Michaud 01617 Etienne",Paris,France,49.0445,2.4713,"['velit', 'laudantium', 'quas']"
Martin Gilles,,"81, avenue Muller 87432 BoulangerVille",Paris,France,49.092,2.5819,"['velit', 'nam', 'consequuntur']"
Jules du Millet,Freestyle,"87, avenue Louise Blot 29955 DanielVille",Paris,France,48.6214,2.2915,"['hic', 'perspiciatis', 'a']"
Roger-Yves Cousin,,"49, rue de Boulanger 61400 Hubertboeuf",Paris,France,48.8582,2.5428,"['iure', 'libero', 'doloribus']"
Émile Courtois de la Pereira,,"3, avenue de Maillot 25097 Peron",Paris,France,48.7765,2.5089,"['alias', 'dolore', 'fugit']"
Xavier Legrand,,"19, chemin de Ledoux 51740 Jacques-les-Bains",Paris,France,49.028,2.4682,"['dolorem', 'nihil', 'explicabo']"
Alphonse-Marc Clerc,,"68, boulevard Diane Thomas 07662 Lacombe",Paris,France,49.0242,2.1342,"['deleniti', 'corporis', 'doloremque']"
Arthur Dumont,,"693, chemin Adèle Dumas 50423 Lenoirboeuf",Paris,France,48.8812,2.1615,"['reprehenderit', 'nobis', 'reprehenderit']"
Alphonse Meyer,,"502, avenue de Masse 70526 Pages-sur-Aubry",Paris,France,48.8805,2.4229,"['tempora', 'expedita', 'omnis']"
Véronique Diaz,,"248, rue de Jean 75957 Lesageboeuf",Paris,France,48.9496,2.1936,"['vitae', 'quidem', 'tempora']"
Jeanne Gonzalez,,rue Briand 56691 Ledouxnec,Paris,France,49.0098,2.5591,"['perferendis', 'facilis', 'aperiam']"
Constance-Brigitte Paris,,"59, rue Édith Poirier 82595 Mercier",Paris,France,49.0311,2.2767,"['minima', 'earum', 'excepturi']"
Martin-Robert Marie,,"85, rue de Bernier 63888 Muller",Paris,France,48.8661,2.5271,"['expedita', 'laboriosam', 'sint']"
Marguerite Lucas Le Lefevre,,"50, rue de Rey 78959 Wagner",Paris,France,48.7615,2.2843,"['illo', 'distinctio', 'repellat']"
Astrid-Suzanne Dufour,,"51, rue de Raymond 56082 Salmonboeuf",Paris,France,49.037,2.5923,"['eaque', 'voluptas', 'error']"
Inès Remy,,"33, rue de Bouvet 48170 TanguyVille",Paris,France,48.6821,2.1519,"['hic', 'at', 'atque']"
Honoré Pascal,,avenue Maggie Turpin 22886 EtienneBourg,Paris,France,48.9735,2.3683,"['sapiente', 'odio', 'illo']"
Arnaude Diallo,,"81, chemin Virginie Fontaine 10751 Vallee",Paris,France,48.8664,2.3886,"['accusantium', 'suscipit', 'numquam']"
Tristan du Grenier,,"957, avenue Xavier Fernandes 70402 Olliviernec",Paris,France,48.9522,2.2853,"['nostrum', 'error', 'aperiam']"
Denis-Guillaume Charpentier,,"76, rue Pascal 22250 Martin",Paris,France,48.8034,2.5832,"['sed', 'odit', 'dicta']"
Charles-Eugène Peron,,"329, rue Maury 55742 Sainte Luc-les-Bains",Paris,France,48.7458,2.4848,"['blanditiis', 'dignissimos', 'numquam']"
Antoine Lopez,,"6, avenue de Charles 53771 Gilbert",Paris,France,48.8677,2.1107,"['ducimus', 'facilis', 'quibusdam']"
Claire-Jeanne Gomes,,"259, avenue de Charles 04540 Girard",Paris,France,48.7799,2.4429,"['beatae', 'eaque', 'doloribus']"
Nicolas Gosselin,,avenue de Hoarau 76235 Leger-la-Forêt,Paris,France,49.1014,2.4974,"['dolorem', 'beatae', 'maxime']"
Olivier Lebrun,,rue Luce Berger 43955 Grenier,Paris,France,49.0421,2.3848,"['velit', 'doloribus', 'reiciendis']"
Astrid du Jacquet,,"9, chemin de Blanchet 08619 Brunboeuf",Paris,France,49.0176,2.3189,"['voluptate', 'itaque', 'molestias']"
Jean Renaud,Crazy,avenue Henri Coste 94381 Diazboeuf,Paris,France,48.871,2.4084,"['placeat', 'eum', 'repellendus']"
Françoise Merle,,"36, boulevard de Bernier 26374 Guillot",Paris,France,48.7245,2.3983,"['labore', 'explicabo', 'officiis']"
Gabriel Peron du Jacob,,"495, chemin Samson 10918 Perrin",Paris,France,48.9524,2.3384,"['nemo', 'rem', 'earum']"
Roger Jacquot,,"79, rue de Michaud 98751 Dubois",Paris,France,48.8232,2.2804,"['dolorem', 'nesciunt', 'ducimus']"
Laetitia Muller,,"380, rue de Laine 13532 Lecomte",Paris,France,48.675,2.6003,"['officiis', 'mollitia', 'doloribus']"
Olivie Hardy,Ryder,"97, rue Franck Marchal 92391 Lenoir",Paris,France,48.7797,2.4592,"['nemo', 'voluptate', 'iure']"
Roger Barthelemy,,"7, boulevard Richard Hubert 42519 Dupuis-sur-Seguin",Paris,France,49.0165,2.2341,"['atque', 'ducimus', 'blanditiis']"
Colette Mercier,,"74, avenue de Peron 25492 Saint Alexandrienec",Paris,France,49.009,2.5669,"['cupiditate', 'consectetur', 'doloremque']"
Richard Bruneau-Gros,,"618, rue Jeannine Muller 65914 Marques",Paris,France,48.8553,2.2338,"['totam', 'dignissimos', 'magni']"
Lucie-Émilie Chevallier,,"26, avenue Margaud Breton 34638 LenoirVille",Paris,France,48.9203,2.2904,"['architecto', 'asperiores', 'quibusdam']"
Lucas Leclercq du Evrard,,"25, chemin Antoine 09544 LesageVille",Paris,France,48.9951,2.5103,"['sed', 'accusantium', 'quas']"
Léon Marechal,,"515, avenue de Clerc 31216 CaronVille",Paris,France,49.0428,2.5663,"['minus', 'adipisci', 'odit']"
Céline-Édith Pierre,Madam,avenue de Da Silva 91048 Launay,Paris,France,49.0731,2.3737,"['eius', 'voluptatum', 'repudiandae']"
Agnès de Goncalves,,"26, rue de Lopez 77045 LacombeVille",Paris,France,49.0495,2.5648,"['animi', 'inventore', 'voluptatibus']"
Nicole-Capucine Morin,,boulevard de Cordier 15175 Lagarde,Paris,France,48.7758,2.4869,"['sit', 'facere', 'natus']"
Jeannine Martinez,,"40, boulevard de Ribeiro 43455 CamusBourg",Paris,France,49.0494,2.4972,"['modi', 'expedita', 'libero']"
Jacques Martel,,"49, avenue Virginie Vincent 40851 Gallet",Paris,France,48.8951,2.5416,"['totam', 'porro', 'itaque']"
Célina du Lesage,,"29, rue de Sanchez 75377 Morel",Paris,France,49.0584,2.4401,"['corrupti', 'praesentium', 'temporibus']"
Paul Berthelot,,"16, chemin Luce Becker 71493 Renaudboeuf",Paris,France,48.9263,2.5659,"['optio', 'assumenda', 'veniam']"
Maryse Dos Santos,,"84, rue Constance Ribeiro 13529 Samson",Paris,France,49.0351,2.5412,"['debitis', 'quasi', 'ipsum']"
Hortense Pascal,,"34, chemin de Schmitt 73390 Loiseaunec",Paris,France,49.038,2.3375,"['amet', 'dignissimos', 'optio']"
Laetitia Bousquet,,"24, boulevard de Mercier 28686 Etienne",Paris,France,48.8665,2.1917,"['blanditiis', 'delectus', 'eos']"
Julien Olivier,Hot,"18, chemin de Marechal 72609 Sainte Renéeboeuf",Paris,France,48.7354,2.217,"['animi', 'earum', 'quos']"
Anouk Leger,Blaze,"686, avenue Diane Philippe 60335 Carlier",Paris,France,48.6805,2.4375,"['magni', 'magnam', 'tempora']"
Rémy de la Morvan,Lil,"906, chemin de Labbe 89797 Thomas",Paris,France,48.7104,2.1522,"['nostrum', 'a', 'quisquam']"
Gilles Gay,,"66, rue de Fontaine 22364 Gimenez",Paris,France,48.7275,2.5189,"['distinctio', 'illo', 'atque']"
Marianne Mendes de Navarro,Bear,"908, rue René Paris 49257 Carlier",Paris,France,49.0305,2.3592,"['cumque', 'optio', 'eligendi']"
Camille Albert-Gallet,,rue Henri Masse 64614 Vallet-la-Forêt,Paris,France,48.856,2.3894,"['odio', 'possimus', 'natus']"
Juliette-Océane Barthelemy,,chemin Frédérique Renaud 11380 Delmas,Paris,France,48.8483,2.134,"['voluptate', 'vel', 'labore']"
Dorothée Roux de la Bonnin,,boulevard de Coulon 60631 Antoine,Paris,France,48.922,2.4087,"['aliquid', 'suscipit', 'quo']"
Éric Andre,,"97, rue de Lecoq 35213 Thibault",Paris,France,49.0736,2.4647,"['quisquam', 'dicta', 'doloribus']"
Alex Joly,,"73, rue Guillet 52808 Gomes-sur-Chauveau",Paris,France,49.0512,2.2043,"['corrupti', 'id', 'consectetur']"
Zoé Joseph,,"3, rue Luce Bonneau 69875 Saint Susan",Paris,France,48.6957,2.4558,"['corporis', 'ducimus', 'fugiat']"
Henri Renard,,"562, rue Joubert 95136 Pruvost-sur-Brunel",Paris,France,49.0509,2.5465,"['adipisci', 'velit', 'inventore']"
Gilles Dumont,,"80, avenue Édith Perez 67995 Sainte ThéodoreVille",Paris,France,48.8107,2.5952,"['corporis', 'harum', 'modi']"
Guillaume Jourdan,,"5, chemin de Laurent 11493 Aubry",Paris,France,48.9207,2.2234,"['ipsam', 'tempore', 'dolor']"
Odette David,,"18, chemin Dorothée Maurice 18387 Alexandre",Paris,France,48.6678,2.5502,"['exercitationem', 'aliquid', 'asperiores']"
Martin Chretien,,chemin Éric Remy 07729 Le Gall-la-Forêt,Paris,France,49.0849,2.5991,"['enim', 'non', 'aut']"
Élodie Le Goff,,"59, rue Lecoq 13581 Bazin",Paris,France,48.9703,2.4083,"['fugit', 'officiis', 'facilis']"
Adélaïde du Poulain,,"86, rue Verdier 48574 Hernandez",Paris,France,48.6819,2.4501,"['veritatis', 'aliquam', 'voluptatem']"
Marcelle Roussel,,"13, avenue de Lemonnier 04909 Millet",Paris,France,49.0364,2.5668,"['corporis', 'magni', 'ea']"
Christiane Brun,,"57, avenue Laurent 93815 Cousin",Paris,France,49.0437,2.458,"['labore', 'recusandae', 'odio']"
Margaux Descamps,,chemin Aubry 24318 De Oliveira-sur-Mer,Paris,France,48.9984,2.5658,"['perferendis', 'facere', 'omnis']"
Alain Michaud,,"28, avenue Frédérique Lemaire 63325 Munoz",Paris,France,48.6972,2.35,"['aut', 'quae', 'consequuntur']"
Monique Sauvage,,"81, avenue Paulette Fabre 82009 Clement",Paris,France,48.7443,2.5245,"['saepe', 'soluta', 'error']"
Olivie Gomez,,"438, rue Célina Gonzalez 75938 Allain-sur-Mer",Paris,France,48.8264,2.3433,"['ullam', 'consequuntur', 'quia']"
Noël Roussel,She-devil,"98, avenue Claude Lefort 94294 Philippe",Paris,France,49.0955,2.4866,"['dolor', 'distinctio', 'quaerat']"
Stéphanie Duhamel,,"86, avenue Olivier Barbe 63501 Dumas-les-Bains",Paris,France,48.6596,2.4016,"['quae', 'consequuntur', 'enim']"
Jeannine Girard-Fernandes,,boulevard de Lombard 55524 BourgeoisBourg,Paris,France,48.6684,2.4387,"['vel', 'recusandae', 'tempora']"
Élise Le Noel,,"5, rue Georges 41510 Labbe",Paris,France,48.8325,2.1665,"['corporis', 'aliquam', 'facilis']"
Zacharie du Germain,,"48, rue de Leduc 64285 Rolland",Paris,France,48.8918,2.3073,"['eligendi', 'porro', 'incidunt']"
René Perret,,"27, avenue Roussel 14319 Lejeune-sur-Marchand",Paris,France,48.8239,2.2174,"['tenetur', 'veritatis', 'illum']"
Dominique de Bonnin,,"2, chemin de Guillot 60405 Charpentier-sur-Mer",Paris,France,48.7419,2.3913,"['facere', 'expedita', 'doloremque']"
Marthe de Poirier,,"10, chemin de Briand 24637 Pascal",Paris,France,49.0602,2.2015,"['iure', 'voluptate', 'perspiciatis']"
Virginie de la Reynaud,,rue Bertrand Merle 35354 Delattre-sur-Blin,Paris,France,48.7275,2.1827,"['odio', 'dolores', 'architecto']"
Aurélie Maillard,,avenue Lesage 89682 Bouchet-les-Bains,Paris,France,48.6502,2.5643,"['optio', 'cupiditate', 'at']"
Amélie Navarro,,chemin Geneviève Devaux 56257 Sainte Margaud,Paris,France,48.7103,2.1667,"['unde', 'alias', 'totam']"
Théophile Blot-Renaud,Big,"3, chemin de Noel 61807 Sainte Franck",Paris,France,48.7273,2.1289,"['nihil', 'architecto', 'quia']"
Luce Raymond de la Renaud,,"49, rue de Gros 01682 Hameldan",Paris,France,48.7214,2.5134,"['eaque', 'eos', 'distinctio']"
Adélaïde Leleu,Tequila,"66, chemin Élodie Labbe 40970 CordierBourg",Paris,France,48.9683,2.1231,"['saepe', 'iste', 'sunt']"
Étienne de la Aubert,,"48, rue Martine Begue 96522 Fleuryboeuf",Paris,France,48.8193,2.2967,"['optio', 'enim', 'dolor']"
Victor Bouchet,,"8, boulevard de Bailly 20450 Sainte Alixnec",Paris,France,48.6113,2.4478,"['libero', 'et', 'exercitationem']"
Marguerite-Laetitia Lacombe,Shovelhead,"97, avenue Laporte 62287 Lesage-les-Bains",Paris,France,48.7899,2.2248,"['autem', 'quo', 'tempora']"
Antoine Rodrigues,,"49, rue de Lagarde 70869 Saint Susanne",Paris,France,48.7777,2.2778,"['illum', 'recusandae', 'odio']"
Victoire Tessier-Munoz,,"15, rue Gomez 21066 Brunel",Paris,France,48.8149,2.5562,"['consequuntur', 'doloremque', 'saepe']"
Monique Garcia,,avenue Seguin 26009 Wagner,Paris,France,48.6884,2.5072,"['excepturi', 'libero', 'repellat']"
Laurence Aubry,,rue de Andre 17983 RousselVille,Paris,France,48.8527,2.186,"['veritatis', 'accusamus', 'necessitatibus']"
Arthur Gautier,,"25, rue Pénélope Simon 67178 Lefebvre",Paris,France,48.8006,2.2181,"['facere', 'vitae', 'animi']"
Laetitia Royer,,"74, boulevard de Vasseur 64457 Daniel",Paris,France,48.9667,2.1275,"['nihil', 'nam', 'delectus']"
Marie Hamon,,avenue Perret 68018 Marindan,Paris,France,48.7787,2.2673,"['aliquid', 'assumenda', 'dolores']"
Pauline Lacroix,,"827, boulevard de Colas 13157 Evrard",Paris,France,48.6298,2.5802,"['qui', 'error', 'ex']"
Marcel Seguin,,"9, avenue Madeleine Hebert 40197 Sainte Alfred",Paris,France,48.6663,2.1444,"['aut', 'rem', 'dignissimos']"
Adélaïde-Amélie Peltier,,"87, avenue Andrée Hoareau 85021 Meyer",Paris,France,48.7246,2.2408,"['asperiores', 'reprehenderit', 'facilis']"
Constance Delahaye,,"29, rue de Baudry 78787 RamosBourg",Paris,France,49.0062,2.2658,"['rem', 'quod', 'perspiciatis']"
Marguerite Le Marion,La,avenue de Bruneau 80122 GuerinBourg,Paris,France,48.796,2.2647,"['cum', 'harum', 'eaque']"
Lucas Lemonnier,Gizmo,"49, rue de Lefort 09033 Lefortboeuf",Paris,France,48.8792,2.412,"['ullam', 'occaecati', 'sit']"
Jean de Leger,,avenue Bourdon 24575 MarchalBourg,Paris,France,49.0544,2.552,"['et', 'ad', 'incidunt']"
Maurice Sanchez-Perret,,"28, avenue Marcel Costa 07194 Olivier",Paris,France,48.9537,2.2121,"['quam', 'eaque', 'explicabo']"
Michelle Le Vidal,Tank,"77, rue de Pages 40456 Gros",Paris,France,49.0363,2.3875,"['a', 'facere', 'totam']"
Guillaume-Guy Bernard,,"14, rue Samson 74388 Legros-sur-Millet",Paris,France,48.7341,2.3731,"['assumenda', 'doloribus', 'repudiandae']"
Véronique Courtois,Short,"60, rue de Ruiz 83018 Guyot-les-Bains",Paris,France,48.9011,2.2462,"['sed', 'adipisci', 'aspernatur']"
Michèle-Marie Pasquier,Tequila,"45, boulevard Denis Poulain 73696 Labbe",Paris,France,48.9448,2.3757,"['non', 'animi', 'adipisci']"
Rémy Chauvin,,"9, rue Gaillard 38569 Da Silvanec",Paris,France,48.9465,2.2179,"['non', 'fugit', 'mollitia']"
Jules Devaux,Kinky,"240, rue de Albert 59496 Saint Céline",Paris,France,48.7472,2.2611,"['eum', 'hic', 'reiciendis']"
Adrien Julien,,"60, rue de Lemaire 85010 Saint Louisdan",Paris,France,49.1044,2.2572,"['dicta', 'iste', 'perferendis']"
Margot-Juliette Mallet,Electra,avenue Rocher 43504 Hamon,Paris,France,48.6855,2.4225,"['harum', 'ea', 'voluptate']"
Xavier Goncalves,,"75, rue de Berthelot 71883 Texier-les-Bains",Paris,France,48.8051,2.4744,"['ullam', 'debitis', 'voluptatibus']"
Élisabeth Rousset,,"4, rue de Normand 95192 Saint Thierry-la-Forêt",Paris,France,48.7171,2.1148,"['earum', 'eligendi', 'modi']"
William Duval,,"975, chemin Michelle Lucas 96684 Texier-sur-Mer",Paris,France,48.6745,2.4102,"['vero', 'quos', 'officia']"
Lorraine-Maggie Peltier,,"35, chemin Margot Marty 98335 Maury-sur-Cordier",Paris,France,49.0621,2.2586,"['autem', 'sunt', 'inventore']"
Gilles du Lesage,G,"543, boulevard de Delaunay 77407 Saint Isabellenec",Paris,France,49.0693,2.3119,"['voluptas', 'voluptates', 'sapiente']"
Patrick-Alfred Da Silva,,"9, rue Bernier 17201 Texier-sur-Barre",Paris,France,48.8877,2.3445,"['atque', 'necessitatibus', 'quaerat']"
Inès Guerin de Joubert,Duchess,"25, avenue de Bernard 81067 Saint Odette",Paris,France,48.8183,2.4144,"['nobis', 'earum', 'sequi']"
Michelle-Juliette Giraud,,"32, boulevard Delahaye 68981 Lopesnec",Paris,France,48.8561,2.1984,"['tempora', 'omnis', 'quod']"
Thibaut Pierre,,"989, rue de Bodin 08032 Fleury-sur-Remy",Paris,France,48.839,2.5459,"['tempore', 'recusandae', 'vero']"
Matthieu Grondin,Noir,chemin Émilie Ruiz 67368 Sainte Augustin,Paris,France,48.8137,2.2413,"['enim', 'ut', 'minima']"
Victor du Pons,,"89, avenue Thibault 30675 Petitjean",Paris,France,48.7995,2.5944,"['in', 'doloribus', 'adipisci']"
Charles-Georges Navarro,,"688, avenue de Fournier 47800 Sainte MargotVille",Paris,France,48.8808,2.2715,"['quis', 'cupiditate', 'fugit']"
Tristan Denis-Launay,,"416, boulevard Bertin 86973 Vincent",Paris,France,48.7504,2.3834,"['quasi', 'cumque', 'vitae']"
Anastasie Toussaint,,"96, boulevard Léon Germain 28139 Goncalves",Paris,France,48.7315,2.4206,"['illo', 'aliquam', 'dolores']"
Geneviève du Andre,Angel,"34, rue de Brunet 92769 Marie",Paris,France,49.0001,2.3256,"['ullam', 'eos', 'illum']"
Gabriel de la Bertin,,"97, boulevard de Guibert 67227 Dumont",Paris,France,48.7618,2.4148,"['quasi', 'ad', 'deleniti']"
Sophie Diaz,,"264, chemin Clémence Teixeira 31185 Saint Diane-sur-Mer",Paris,France,48.7436,2.52,"['quas', 'placeat', 'quia']"
Marcelle Legros-Cordier,Rascal,boulevard Eugène Moreau 34654 Saint Juliette,Paris,France,48.9396,2.5059,"['sed', 'corrupti', 'placeat']"
Isaac Marechal,,"209, rue de Dupuy 80447 Guibert-sur-Bruneau",Paris,France,48.81,2.3568,"['pariatur', 'debitis', 'repellendus']"
Margaret Rossi,,"12, rue Grégoire Breton 73287 Le Goff-sur-Mer",Paris,France,49.024,2.2245,"['nulla', 'id', 'aut']"
Georges Marie,,"644, rue de Gilles 03423 GuillouVille",Paris,France,49.0838,2.193,"['sint', 'nostrum', 'eveniet']"
Nicole Francois,,"27, rue Gomez 41819 Sainte Gilles",Paris,France,48.8529,2.2423,"['autem', 'molestias', 'cupiditate']"
Jean Legendre,,"50, chemin Albert 53821 Lebreton-sur-Andre",Paris,France,48.6389,2.513,"['quibusdam', 'autem', 'inventore']"
Aimée Rey,,boulevard de Perret 35461 Briand-sur-Robert,Paris,France,48.9183,2.3954,"['earum', 'aut', 'dolor']"
daisy Lebreton,Gordo,"58, chemin de Guilbert 57354 Dijoux",Paris,France,49.094,2.2349,"['sequi', 'eligendi', 'quas']"
Sophie de Chauveau,,"87, avenue Bourgeois 37407 Saint Zoéboeuf",Paris,France,48.8568,2.4077,"['aspernatur', 'deleniti', 'tempora']"
Élodie-Jacqueline Duval,,"764, avenue Suzanne Dos Santos 37965 Lagarde",Paris,France,48.8481,2.2591,"['repellat', 'nobis', 'laboriosam']"
Célina Dupre-Couturier,,rue de Alexandre 89482 Reyboeuf,Paris,France,49.0764,2.4599,"['corrupti', 'amet', 'doloremque']"
Julie Pelletier-Imbert,Vex,"47, chemin Lorraine Perez 68505 Voisin",Paris,France,49.0004,2.599,"['voluptatum', 'possimus', 'consequuntur']"
