name crime_type profit
"Mrs. Ruth Jones" theft 145
"Bethany Harrison" "drug sale" 22950
"Benjamin Wilson" robbery 80
"Dr. Ricky Robson" pickpocketing 7
"Victoria Foster" robbery 766
"Joel Riley" pickpocketing 4
"Ms. Danielle Ward" robbery 656
"Annette Booth" theft 76
"Edward Ford" "drug sale" 43110
"Karl Price" theft 350
"Ashley Matthews-Parker" robbery 772
"Carl Fox" theft 360
"Molly Palmer" theft 100
"Aimee Macdonald-Lewis" theft 356
"Dr. Leslie Carr" theft 282
"Dr. Dylan Smith" theft 24
"Jake Johnson" theft 148
"Eric McLean" theft 200
"Roger Martin" robbery 448
"Dr. Sean Wilson" theft 169
"Mr. Jake Booth" "drug sale" 35730
"Dr. Sean Smith" pickpocketing 31
"Mrs. Claire Farrell" theft 380
"Luke Wallis-Price" theft 284
"Naomi Porter" theft 74
"Mr. Leon Cartwright" pickpocketing 49
"Nicole Cook" forgery 33
"Ms. Claire Howarth" theft 180
"Tom Blackburn" robbery 164
"Ms. Alice Jackson" theft 216
"Kenneth Barker" theft 364
"Gordon Parker" "weapons sale" 467000
"Emma Hill-Lewis" theft 86
"Lee Schofield" robbery 138
"Amelia Shah" theft 108
"Ms. Sandra Jones" robbery 324
"Dr. Sylvia Long" "drug sale" 11880
"Mary Nicholls" theft 88
"Andrew Moss-Smart" robbery 872
"Ashleigh Green" "drug sale" 27090
"Alex Tomlinson-Simpson" theft 309
"Mr. Marcus Patel" theft 112
"Dr. Hugh Walton" pickpocketing 45
"Frances Palmer" theft 158
"Mr. Liam Morrison" theft 43
"Miss Jennifer Khan" "drug sale" 32400
"Dr. Jasmine Jones" "drug sale" 39780
"Mr. Stanley Berry" "drug sale" 29700
"Chelsea White" robbery 786
"Dr. Louis Barnes" forgery 405
"Mr. Ben West" forgery 569
"Miss Laura Wilson" "weapons sale" 27000
"Dr. Carol Williams" robbery 772
"Dorothy Thomas" theft 268
"Ms. Joan Short" "drug sale" 38700
"Gail Brookes" theft 277
"Mary Allen" pickpocketing 28
"Mr. Malcolm Price" robbery 66
"Albert Wilson" theft 86
"Darren Bibi" forgery 311
"Dr. Adam Price" "drug sale" 9360
"Lynn Anderson" theft 284
"Miss Sarah Rhodes" theft 53
"Ellie Cook" theft 22
"Mr. Albert Barry" pickpocketing 40
"Bernard Connor" pickpocketing 15
"Ms. Kim Morgan" "drug sale" 25020
"Mrs. Lauren Dawson" theft 82
"Russell Green" theft 270
"Gregory McLean-Quinn" theft 179
"Jemma Carter" robbery 604
"Dean Ward" theft 97
"Samantha Wilkinson" pickpocketing 41
"Andrew Smith" "weapons sale" 466000
"Garry Hayes-Roberts" forgery 405
"Abbie Bond" forgery 506
"Rhys Evans" "drug sale" 990
"Dr. Alice Armstrong" robbery 292
"Rachael Evans" theft 43
"Rhys O'Neill-Robertson" theft 162
"Georgina Ball" robbery 194
"Ben Cook" theft 136
"Lynne Johnson-Simpson" "weapons sale" 10000
"Sylvia Rowe" pickpocketing 35
"Dr. Steven Brookes" theft 371
"Angela Harrison" "drug sale" 29070
"Mr. Stanley Vincent" "drug sale" 6030
"Joel Russell" pickpocketing 30
"Mrs. Jane Patel" theft 289
"Adrian West" theft 376
"Amanda Dixon" "drug sale" 20250
"Chelsea Wilson" forgery 122
"Jake Wallis-Cook" theft 316
"Jean Jones" "weapons sale" 134000
"Ms. Amelia Coles" forgery 382
"Lauren Watson" theft 338
"Martin Freeman" theft 232
"Marian Black-Middleton" robbery 886
"Raymond Allan-Steele" pickpocketing 46
"Trevor Carter" theft 276
"Suzanne Owen" robbery 192
"Douglas Mitchell" pickpocketing 41
"Sara Foster" robbery 974
"Mr. Philip Powell" forgery 38
"Katie Allen-Metcalfe" pickpocketing 23
"Miss Lucy Armstrong" "drug sale" 1800
"Jeffrey Saunders" theft 305
"Dr. Eric Gordon" robbery 192
"Shaun Macdonald" forgery 455
"Ms. Hilary Smith" theft 165
"Gerald Anderson" pickpocketing 22
"Ms. Sandra Flynn" theft 88
"Dr. Douglas James" theft 134
"Denis Rowe" theft 36
"Ms. Donna Jenkins" robbery 32
"Kayleigh Smith" forgery 362
"Nathan Harrison" theft 288
"Melanie Morris" pickpocketing 45
"Denise Moore" pickpocketing 20
"Victor Frost" pickpocketing 47
"Karen White-Harris" theft 348
"Marie Fitzgerald" theft 386
"Louise Chapman-Holmes" theft 323
"Marc Robinson-Lowe" pickpocketing 6
"Ms. Sandra Mitchell" theft 336
"Daniel Kelly" robbery 418
"Philip Williamson-O'Connor" theft 164
"George Khan" "weapons sale" 420000
"Ms. Kimberley Cooper" forgery 221
"Kate Wright" robbery 364
"Anthony Weston" pickpocketing 43
"Charlie Booth" forgery 155
"Rita Allen" pickpocketing 39
"Mr. Leonard Marshall" "weapons sale" 281000
