id,benennen,aliasnamen,breitengrad,länge
247,Elli Cichorius-Cichorius,,50.1642,8.4462
248,Cord Nohlmans,,50.1013,8.7508
249,Rosel Stadelmann,,50.1112,8.8848
250,Hartmut Lindner-Köhler,,49.9742,8.7197
251,Karl-Josef Hecker,,49.8893,8.5264
252,Klaus Peter Gutknecht-Albers,,50.0365,8.9211
253,Luciano Putz,,50.0708,8.828
254,Dragica Peukert,,50.3102,8.5467
255,Univ.Prof. Dominik Albers,Black,49.9971,8.7248
256,Jacqueline Ackermann,,50.1113,8.7404
257,Jose Schinke,,50.0552,8.6826
258,Mareile Krein MBA.,Sleepy,49.8856,8.4591
259,Dr. Bernward Lindner B.A.,,50.0018,8.7261
260,Helma Schönland B.Sc.,,49.9021,8.7039
261,Dipl.-Ing. Wendelin Steinberg B.A.,,50.1365,8.5656
262,Wibke Margraf,,49.9168,8.6273
263,Ing. Sofia Schönland B.Eng.,,49.9936,8.6335
