name crime_type profit
"Dewi van de Noordmark" theft 194
"Selena Hoppenbrouwer" "drug sale" 13950
"Lucy Volcke-de Haan" pickpocketing 26
"Selina Mahieu" theft 392
"Kian Verhagen" theft 319
"Liv Erhout" theft 208
"Bilal Koeman" robbery 108
"Fedde van Egisheim" pickpocketing 4
"Myrthe Winters" theft 187
"Sami Bartels" theft 88
"Tirza van Dongen-de Bruijn" forgery 413
"Kevin van den Brand" theft 236
"Arthur van der Heiden" robbery 386
"Tirza Zuidweg-Doesburg" robbery 544
"Thom Flink" "weapons sale" 279000
